0	40.2	43.9	47.5	51.1	54.7	58.3	61.9	65.5	69.1	72.7	76.3	80
4	11	9	8	6	6	5	4	3	5	4	3	4
4.6	25	28	34	41	52	58	67	70	62	59	44	37
5.2	26	29	37	41	52	64	74	82	87	100	98	96
5.8	25	27	32	39	48	57	66	74	82	94	93	92
6.4	22	22	28	33	43	48	57	65	68	80	78	78
7	17	16	21	23	31	33	37	44	47	53	52	49
7.6	12	11	12	11	14	14	16	18	19	20	20	18
8	7	7	8	7	9	9	9	10	12	11	10	8

