Anion,C8,C9,C10
Br-,96.9,128,102.9
PF6-,98.1,109.1,99.6
BF4-,86.8,97.5,90.1
N(CN)2-,121.9,121.9,112.5
NTf2-,No Data,48.7,68.4
OTf-,104.5,74.9,No Data
OAc-,110.8,80,No Data
